#options: 640x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=400 vbv_bufsize=800 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:77 out:77 type:B dur:2 cpbdur:2 q:31.58 aq:32.17 tex:3765 mv:2232 misc:523 imb:6 pmb:176 smb:738 d:s ref:0 ;
in:76 out:78 type:b dur:2 cpbdur:2 q:31.59 aq:29.00 tex:22 mv:289 misc:353 imb:0 pmb:70 smb:850 d:s ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:31.57 aq:33.54 tex:5938 mv:2715 misc:451 imb:23 pmb:169 smb:728 d:- ref:0 ;
in:83 out:80 type:P dur:2 cpbdur:2 q:31.19 aq:26.11 tex:33809 mv:4006 misc:649 imb:80 pmb:379 smb:461 d:s ref:0 ;
in:81 out:81 type:B dur:2 cpbdur:2 q:31.45 aq:29.43 tex:9545 mv:3403 misc:548 imb:21 pmb:217 smb:682 d:s ref:0 ;
in:80 out:82 type:b dur:2 cpbdur:2 q:31.55 aq:27.27 tex:61 mv:210 misc:377 imb:0 pmb:72 smb:848 d:s ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:31.46 aq:32.68 tex:2937 mv:1865 misc:462 imb:10 pmb:149 smb:761 d:- ref:0 ;
in:87 out:84 type:P dur:2 cpbdur:2 q:31.09 aq:25.60 tex:30491 mv:3334 misc:703 imb:64 pmb:354 smb:502 d:s ref:0 ;
in:85 out:85 type:B dur:2 cpbdur:2 q:31.19 aq:29.79 tex:4716 mv:1392 misc:540 imb:4 pmb:176 smb:740 d:s ref:0 ;
in:84 out:86 type:b dur:2 cpbdur:2 q:31.31 aq:31.27 tex:3310 mv:1802 misc:392 imb:7 pmb:135 smb:778 d:s ref:0 ;
in:86 out:87 type:b dur:2 cpbdur:2 q:31.19 aq:31.98 tex:42 mv:161 misc:301 imb:0 pmb:47 smb:873 d:- ref:0 ;
in:91 out:88 type:P dur:2 cpbdur:2 q:31.05 aq:25.19 tex:35052 mv:3821 misc:719 imb:92 pmb:393 smb:435 d:s ref:0 ;
in:89 out:89 type:B dur:2 cpbdur:2 q:31.12 aq:30.47 tex:5281 mv:2236 misc:507 imb:7 pmb:193 smb:720 d:s ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:31.24 aq:33.19 tex:3225 mv:2058 misc:421 imb:5 pmb:145 smb:770 d:s ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:31.12 aq:27.96 tex:157 mv:198 misc:445 imb:0 pmb:93 smb:827 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:30.92 aq:24.33 tex:46643 mv:3924 misc:745 imb:116 pmb:381 smb:423 d:s ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:31.08 aq:30.57 tex:8688 mv:2916 misc:500 imb:21 pmb:201 smb:698 d:t ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:31.21 aq:32.01 tex:3578 mv:1686 misc:424 imb:11 pmb:129 smb:780 d:s ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:31.07 aq:30.55 tex:3094 mv:1698 misc:440 imb:2 pmb:141 smb:777 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:30.95 aq:25.18 tex:31155 mv:3643 misc:714 imb:56 pmb:372 smb:492 d:s ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:30.99 aq:30.72 tex:3450 mv:1908 misc:530 imb:2 pmb:158 smb:760 d:s ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:31.22 aq:28.00 tex:9 mv:181 misc:306 imb:0 pmb:41 smb:879 d:s ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:30.99 aq:32.25 tex:3316 mv:1983 misc:461 imb:3 pmb:143 smb:774 d:- ref:0 ;
in:101 out:100 type:P dur:2 cpbdur:2 q:31.10 aq:25.25 tex:22263 mv:2725 misc:788 imb:15 pmb:420 smb:485 d:s ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:31.24 aq:21.03 tex:36 mv:109 misc:383 imb:0 pmb:63 smb:857 d:s ref:0 ;
in:105 out:102 type:P dur:2 cpbdur:2 q:31.11 aq:24.52 tex:37504 mv:3779 misc:749 imb:35 pmb:426 smb:459 d:s ref:0 ;
in:103 out:103 type:B dur:2 cpbdur:2 q:31.24 aq:31.51 tex:4961 mv:2418 misc:533 imb:0 pmb:187 smb:733 d:s ref:0 ;
in:102 out:104 type:b dur:2 cpbdur:2 q:31.25 aq:33.13 tex:2012 mv:1380 misc:400 imb:1 pmb:108 smb:811 d:s ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:31.23 aq:34.02 tex:593 mv:691 misc:372 imb:0 pmb:83 smb:837 d:- ref:0 ;
in:109 out:106 type:P dur:2 cpbdur:2 q:30.63 aq:25.00 tex:19255 mv:2759 misc:818 imb:12 pmb:417 smb:491 d:s ref:0 ;
in:107 out:107 type:B dur:2 cpbdur:2 q:31.16 aq:31.12 tex:680 mv:873 misc:431 imb:0 pmb:96 smb:824 d:s ref:0 ;
in:106 out:108 type:b dur:2 cpbdur:2 q:31.33 aq:28.00 tex:6 mv:33 misc:193 imb:0 pmb:13 smb:907 d:s ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:31.16 aq:31.96 tex:917 mv:843 misc:360 imb:0 pmb:77 smb:843 d:- ref:0 ;
in:111 out:110 type:P dur:2 cpbdur:2 q:30.75 aq:25.03 tex:18919 mv:2947 misc:830 imb:26 pmb:418 smb:476 d:s ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:30.90 aq:28.05 tex:92 mv:136 misc:428 imb:0 pmb:83 smb:837 d:s ref:0 ;
in:115 out:112 type:P dur:2 cpbdur:2 q:31.14 aq:24.84 tex:46257 mv:4348 misc:667 imb:120 pmb:354 smb:446 d:s ref:0 ;
in:113 out:113 type:B dur:2 cpbdur:2 q:31.35 aq:30.29 tex:9663 mv:4138 misc:551 imb:22 pmb:261 smb:637 d:s ref:0 ;
in:112 out:114 type:b dur:2 cpbdur:2 q:31.36 aq:31.20 tex:2441 mv:2008 misc:527 imb:4 pmb:171 smb:745 d:s ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:31.35 aq:30.72 tex:3319 mv:2259 misc:566 imb:4 pmb:203 smb:713 d:- ref:0 ;
in:119 out:116 type:P dur:2 cpbdur:2 q:30.79 aq:24.51 tex:35337 mv:3871 misc:680 imb:51 pmb:417 smb:452 d:s ref:0 ;
in:117 out:117 type:B dur:2 cpbdur:2 q:31.24 aq:31.56 tex:2104 mv:1780 misc:540 imb:4 pmb:163 smb:753 d:s ref:0 ;
in:116 out:118 type:b dur:2 cpbdur:2 q:31.41 aq:28.00 tex:10 mv:185 misc:341 imb:0 pmb:55 smb:865 d:s ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:31.23 aq:30.01 tex:1801 mv:1435 misc:484 imb:1 pmb:143 smb:776 d:- ref:0 ;
in:123 out:120 type:P dur:2 cpbdur:2 q:30.70 aq:24.07 tex:30506 mv:3331 misc:715 imb:46 pmb:389 smb:485 d:s ref:0 ;
in:121 out:121 type:B dur:2 cpbdur:2 q:30.95 aq:27.56 tex:5669 mv:2600 misc:531 imb:7 pmb:202 smb:711 d:s ref:0 ;
in:120 out:122 type:b dur:2 cpbdur:2 q:31.07 aq:30.90 tex:125 mv:220 misc:439 imb:0 pmb:85 smb:835 d:s ref:0 ;
in:122 out:123 type:b dur:2 cpbdur:2 q:30.99 aq:30.49 tex:1393 mv:1113 misc:398 imb:2 pmb:89 smb:829 d:- ref:0 ;
in:127 out:124 type:P dur:2 cpbdur:2 q:30.24 aq:24.01 tex:21881 mv:2918 misc:817 imb:12 pmb:444 smb:464 d:s ref:0 ;
